,readable,energies
0,"[  0   0   0 201 201]
[600 600 600 201   0]
[  0 600   0 201   0]
[  0 200 200 200   0]
[  0   0   0 200   0]
[400 400   0 301 301]
[400 400 300   0 301]
[300 300 300   0 301]",0.6000000238418579
1,"[  0   0 300   0   0]
[300 300 300   0 200]
[  0   0 500 500 200]
[  0 500 500 200 200]
[  0   0   0 401 401]
[  0 700   0 401 401]
[700 700 400 400   0]
[700   0 400 400   0]",0.6000000238418579
2,"[603 603 603   0   0]
[  0 603   0 500 500]
[400 400 500 500 602]
[400 400   0 602 602]
[601 601 601 600 602]
[  0 601 600 600   0]
[  0   0 200 600   0]
[  0   0 200 200 200]",0.699999988079071
3,"[  0 701   0   0 301]
[701 701 301 301 301]
[701   0 300   0   0]
[300 300 300   0   0]
[700 700   0 500   0]
[  0 700 700 500 500]
[101 101 101 101 500]
[  0 100 100 100 100]",0.699999988079071
4,"[300 300 300   0   0]
[300 100 100 100 100]
[  0   0   0 701   0]
[601   0 701 701   0]
[601 601 701   0   0]
[601 600 600 600 700]
[400 400 600 700 700]
[400 400   0 700   0]",0.699999988079071
5,"[100 100 100 100   0]
[  0   0   0 300 300]
[200 200   0   0 300]
[200 601   0 500 300]
[200 601 601 500 500]
[  0 601 600   0 500]
[  0 600 600 400 400]
[  0   0 600 400 400]",0.699999988079071
6,"[  0 400 400   0 601]
[  0 400 400 601 601]
[200 200 700 700 601]
[200   0   0 700 700]
[200   0   0   0 300]
[301 301 300 300 300]
[  0 301 600 600 600]
[  0 301   0 600   0]",0.699999988079071
7,"[  0   0 201 201 201]
[300 701 701   0 201]
[300   0 701 701   0]
[300 300 700 700   0]
[601   0   0 700 700]
[601 601 200 200 200]
[601 600 600 600 200]
[  0   0 600   0   0]",0.699999988079071
8,"[  0 700 700   0 201]
[  0   0 700 700 201]
[  0   0   0 201 201]
[401 401 400 400   0]
[401 401 400 400   0]
[  0 100 100 100 100]
[  0 600 200 200 200]
[600 600 600   0 200]",0.699999988079071
9,"[303 303 200 200   0]
[  0 303 200 600   0]
[  0 303 200 600 600]
[  0 700 700 600   0]
[302   0 700 700   0]
[302   0 301 301 301]
[302 302 301 300   0]
[  0 300 300 300   0]",0.699999988079071
10,"[  0 600 201 201 201]
[  0 600 600 501 201]
[500 600   0 501 501]
[500 500 301 301 501]
[  0 500 300 301   0]
[300 300 300 301   0]
[200 200 200   0   0]
[  0   0 200   0   0]",0.699999988079071
11,"[  0 700 700   0   0]
[302   0 700 700 600]
[302   0   0 600 600]
[302 302   0 301 600]
[  0 301 301 301   0]
[300 100 100 100 100]
[300   0 200 200 200]
[300 300   0   0 200]",0.699999988079071
12,"[  0   0   0 700   0]
[400 400 700 700   0]
[400 400 700   0   0]
[  0 602 200 200 200]
[602 602   0 600 200]
[601 602 600 600   0]
[601 601   0 600   0]
[601 100 100 100 100]",0.699999988079071
13,"[  0   0 303 400 400]
[303 303 303 400 400]
[  0 200   0 302 302]
[  0 200 200 200 302]
[301   0 500   0 302]
[301   0 500 500   0]
[301 301 300 500   0]
[300 300 300   0   0]",0.699999988079071
14,"[301   0   0 600   0]
[301   0 600 600   0]
[301 301   0 600   0]
[300 300 300 500 500]
[300   0 500 500   0]
[  0   0 200 200 200]
[101 101 101 101 200]
[100 100 100 100   0]",0.699999988079071
15,"[700 700   0 201   0]
[300 700 700 201   0]
[300   0 201 201 601]
[300 300   0 601 601]
[  0 200 200 200 601]
[400 400   0 200   0]
[400 400 600   0   0]
[  0 600 600 600   0]",0.699999988079071
16,"[  0 200   0   0   0]
[  0 200 600 600 600]
[200 200   0 600   0]
[  0 501   0 400 400]
[301 501 501 400 400]
[301   0 501 500   0]
[301 301 300 500 500]
[300 300 300   0 500]",0.699999988079071
17,"[  0 601   0 203 203]
[300 601 601 203   0]
[300 601 600 203   0]
[300 300 600 600   0]
[201   0 600   0   0]
[201 201 201   0 202]
[200 200 200   0 202]
[  0   0 200 202 202]",0.699999988079071
