x0,x1,y
0.8759467201010425,0.11148215102514482,1
0.9312582695508864,0.056967856815580406,1
0.9283036155901021,0.061130420079176094,1
0.8495287897410595,0.8381262918992793,0
0.4883980216535043,0.12107720881947673,0
0.9093918527417226,0.03496728427342888,1
0.38826841431675885,0.057999813874299096,0
0.9340173209337865,0.7834653866124683,0
0.4476441042341292,0.05098836675718729,0
0.9014837035038186,0.31535868968565983,0
0.3637832331849363,0.018716728588967477,0
0.33214158292315393,0.09506135834110717,0
0.8900952837311578,0.0726781286306977,1
0.9132815949341522,0.03247579364358612,1
0.13532830109416688,0.7187315692405387,1
0.9675683836217064,0.9470212828804604,0
0.9183279370594846,0.7394491875207648,0
0.15295375641906983,0.3658638683257883,1
0.9561536036448093,0.5611500233797819,0
0.0,0.8002571431806988,1
0.9012440595983404,0.05976022762727055,1
0.2858535701564385,0.060543924889288836,0
0.6354104175259183,0.06019860028703439,0
0.97700612520491,1.0,0
1.0,0.41982247275105633,0
0.4416635323796544,0.7340187263526695,1
0.8964677135255898,0.0,1
0.38049549056383425,0.5725314109848295,1
0.518474395734653,0.4633874844976906,1
0.9132456223340368,0.007917198132237104,1
0.33839086600656654,0.6286951015955347,1
0.9170981864719867,0.6484353366454938,0
0.5848708889182628,0.040179019070547245,0
0.246853094710942,0.7195689662433853,1
0.14216140049945963,0.5935579677660756,1
0.48303476634047515,0.04195837983210352,0
0.6547868780575714,0.014642729193304047,0
0.8788287675388016,0.039928259258421576,1
0.17929042179226523,0.6370746894647127,1
0.9306105911354052,0.6712792811855104,0
